"registrim","regisannee","sigle","nbcours","etudiants"
"3","2016","JUR1031",20,1127
"3","2016","JUR1042",1,90
"3","2016","JUR1044",1,33
"3","2016","JUR1045",1,48
"3","2016","JUR2040",1,92
"3","2016","JUR2506",2,91
"3","2016","JUR2509",4,76
"3","2016","JUR2521",1,66
"3","2016","JUR2525",3,166
"3","2016","JUR2535",1,63
"3","2016","JUR2541",2,132
"3","2016","JUR2545",1,71
"3","2016","JUR3050",1,54
"3","2016","JUR3225",1,53
"3","2016","JUR3501",2,111
"3","2016","JUR3505",1,66
"3","2016","JUR3516",3,72
"3","2016","JUR3525",1,75
"3","2016","JUR4505",1,68
"3","2016","JUR4521",1,70
"3","2016","JUR5505",1,47
"3","2016","JUR5560",1,54
"3","2016","JUR6516",1,50
"3","2016","JUR6530",1,41
"3","2016","JUR6535",2,119
"3","2016","JUR6545",1,51
"3","2016","JUR6580",2,117
"3","2016","JUR6595",1,54
"3","2015","JUR6615",1,52
"3","2016","JUR6615",1,68
"3","2016","JUR6630",1,38
"3","2016","JUR6635",1,54
"3","2016","JUR6650",1,69
"3","2016","JUR6854",1,55
"3","2016","JUR6871",1,35
"3","2016","JUR6894",1,41
"3","2016","JUR7025",1,4
"3","2016","JUR7121",1,15
"3","2016","JUR7211",1,5
"3","2016","JUR741A",1,8
"3","2016","JUR7636",1,14
"3","2016","JUR7651",1,15
"3","2016","JUR7815",1,16
"3","2016","JUR9001",1,6
"3","2016","KIN1001",1,38
"3","2016","KIN1401",2,64
"3","2016","KIN1402",2,56
"3","2016","KIN1413",2,63
"3","2016","KIN1414",2,55
"3","2016","KIN1440",1,26
"3","2016","KIN1441",1,23
"3","2016","KIN1510",2,75
"3","2016","KIN1520",1,15
"3","2016","KIN1600",3,81
"3","2016","KIN1820",1,63
"3","2016","KIN1910",1,88
"3","2016","KIN2201",2,59
"3","2016","KIN2350",1,27
